id,days,mature,views,partner,new_id,language
37905227,2149,TRUE,162078,FALSE,5079,German
63102384,1574,TRUE,1370,FALSE,4281,German
109414094,1034,TRUE,6043,FALSE,992,German
84163849,1319,TRUE,94298,TRUE,9021,German
38240837,2137,TRUE,2323,FALSE,330,German
75568017,1411,TRUE,807,FALSE,2833,German
38019892,2145,FALSE,43650,FALSE,5069,German
101004172,1137,FALSE,27815,FALSE,7798,German
212738936,187,TRUE,2356,FALSE,5109,German
36580131,2196,TRUE,8723,FALSE,410,German
110456538,1020,FALSE,1907,FALSE,6812,German
36206624,2213,FALSE,1635,FALSE,8219,German
79794063,1367,TRUE,16344,FALSE,2265,German
78873021,1377,TRUE,24703,FALSE,1520,German
141856928,659,TRUE,1985,FALSE,2422,German
110317582,1024,FALSE,17344,FALSE,4672,German
82594934,1337,TRUE,47164,FALSE,1821,German
41411015,2012,FALSE,7186,FALSE,7664,German
81214021,1352,TRUE,4654,FALSE,8566,German
32311281,2271,TRUE,4156,FALSE,1152,German
67976647,1532,FALSE,3283,FALSE,9140,German
113836316,971,TRUE,1039,FALSE,156,German
38922970,2111,FALSE,3044020,TRUE,6193,German
56018264,1676,FALSE,1410,FALSE,786,German
46371860,1909,FALSE,20661,FALSE,2905,German
30628039,2334,TRUE,2685,FALSE,9406,German
105175998,1053,FALSE,247,FALSE,3997,German
11544057,3113,FALSE,4909,FALSE,7661,German
77197496,1398,TRUE,603987,TRUE,7091,German
126366875,855,TRUE,1679,FALSE,6350,German
45269637,1933,FALSE,2557429,TRUE,364,German
47329829,1870,FALSE,21837,FALSE,7295,German
65541964,1562,TRUE,11770,FALSE,3364,German
87334627,1286,FALSE,3311,FALSE,4456,German
61893349,1626,TRUE,182875,TRUE,6200,German
22760096,2684,TRUE,5489,FALSE,1543,German
48040541,1875,FALSE,79676,FALSE,1512,German
80486801,1360,TRUE,9102,FALSE,4846,German
120056949,926,TRUE,10539,FALSE,7776,German
94456184,1205,FALSE,387,FALSE,1388,German
47828062,1843,FALSE,17034,FALSE,1803,German
40214830,2070,TRUE,50997,TRUE,4788,German
21063961,2771,FALSE,814883,FALSE,5923,German
36550698,2200,TRUE,9008,FALSE,143,German
152585009,550,TRUE,324,FALSE,2775,German
68459472,1524,FALSE,2444,FALSE,5656,German
42567425,1988,FALSE,2782,FALSE,1019,German
42075445,2012,FALSE,3447,FALSE,764,German
28892026,2406,TRUE,9707,FALSE,3960,German
110651185,1016,FALSE,5529,FALSE,5644,German
174266671,364,TRUE,2188,FALSE,3635,German
79141806,1374,TRUE,10000,FALSE,3986,German
43995312,1960,TRUE,2495,FALSE,2430,German
95563292,1192,TRUE,24659,FALSE,2991,German
31649983,2294,FALSE,14085,FALSE,7095,German
121766409,908,FALSE,626,FALSE,299,German
182477479,294,FALSE,2898,FALSE,4999,German
172747892,395,FALSE,10836,FALSE,6448,German
110604320,1019,TRUE,7253,FALSE,4736,German
108282326,1044,TRUE,6889,FALSE,3631,German
153047400,543,TRUE,4206,FALSE,5830,German
62769300,1608,FALSE,179574,TRUE,6926,German
25001194,2576,FALSE,31474,FALSE,9002,German
83592002,1327,TRUE,20343,FALSE,466,German
123459985,891,TRUE,3093,FALSE,4295,German
111145234,1014,FALSE,3172,FALSE,9451,German
80546445,1359,TRUE,26661,FALSE,1533,German
72929915,1444,TRUE,3110,FALSE,2686,German
80181911,1359,TRUE,1021,FALSE,8616,German
109577723,1031,FALSE,12562,FALSE,876,German
63388314,1596,TRUE,284253,TRUE,3450,German
98400192,1161,TRUE,20519,FALSE,8166,German
25205727,2559,TRUE,18084,FALSE,4014,German
116190111,966,FALSE,2718,FALSE,833,German
126335595,848,FALSE,805,FALSE,8591,German
148308708,599,FALSE,11199,FALSE,2526,German
86979504,1292,FALSE,1729,FALSE,7550,German
57105416,1693,TRUE,4044,FALSE,4040,German
64224380,1580,TRUE,3765,FALSE,8931,German
171559279,412,TRUE,6562,FALSE,8293,German
93335185,1158,TRUE,722,FALSE,3380,German
102666832,1118,FALSE,146,FALSE,6673,German
30503729,2336,TRUE,8560,FALSE,7462,German
119028537,937,TRUE,4646,FALSE,8719,German
139959265,691,TRUE,9984,FALSE,5658,German
65681931,1558,TRUE,2139,FALSE,8534,German
141743566,670,TRUE,3732,FALSE,3155,German
128419384,829,TRUE,330,FALSE,8808,German
49725668,1835,TRUE,1369,FALSE,129,German
84603957,1315,FALSE,3051546,TRUE,8397,German
86135695,1296,TRUE,8526,FALSE,7808,German
74668105,1332,FALSE,1748,FALSE,2571,German
79587480,1312,TRUE,198,FALSE,5845,German
59304571,1658,TRUE,2431,FALSE,6134,German
66719758,1546,TRUE,187959,FALSE,2340,German
43317490,1983,FALSE,8247,FALSE,8350,German
129788369,807,FALSE,4356,FALSE,7434,German
44033728,1953,TRUE,1788,FALSE,5578,German
79998083,1365,TRUE,9405,FALSE,142,German
108474563,1046,TRUE,8970,FALSE,7098,German
96011211,1187,TRUE,105010,FALSE,546,German
158082443,503,FALSE,4229,FALSE,5397,German
86768469,1294,TRUE,83231,FALSE,2868,German
26633304,2501,FALSE,153590,TRUE,5231,German
126988211,796,TRUE,204,FALSE,6938,German
45866211,1893,FALSE,1101,FALSE,8000,German
30810149,2323,TRUE,3365,FALSE,7810,German
125568444,856,TRUE,1006,FALSE,834,German
85460035,1305,FALSE,1514,FALSE,624,German
57344436,1694,TRUE,60927,FALSE,248,German
30396809,2345,FALSE,27544,FALSE,2551,German
38696419,2119,FALSE,10376,FALSE,7890,German
83603076,1327,TRUE,1632,FALSE,6769,German
41606913,2028,FALSE,1656,FALSE,4474,German
132246031,788,TRUE,11346,FALSE,6072,German
93587658,1215,FALSE,58132,TRUE,1283,German
53936875,1741,TRUE,5247,FALSE,2548,German
80759665,1354,TRUE,1930,FALSE,1660,German
206288115,209,TRUE,4879,FALSE,7752,German
98907295,1158,FALSE,27561,FALSE,7696,German
40151573,2071,FALSE,25644,FALSE,6076,German
151813300,555,FALSE,436,FALSE,1190,German
78058263,1385,TRUE,15057,FALSE,7358,German
79970021,1365,FALSE,193335,FALSE,9320,German
71852631,1479,TRUE,3643410,TRUE,4957,German
99161442,1156,TRUE,49652,FALSE,3097,German
48078259,1875,FALSE,18742,FALSE,7304,German
184205493,311,TRUE,1952,FALSE,105,German
70314858,1503,TRUE,18222,FALSE,6276,German
166933807,434,FALSE,3289,FALSE,7786,German
99754753,1148,TRUE,219120,FALSE,5043,German
137026647,727,TRUE,10901,FALSE,4084,German
